Time,Repetition,Trial,HRTF,HRTFidx,azi_target,ele_target,azi_response,ele_response,attenuation_dB,correctionTrial,
12/01/2024 13:02:51,-1,42,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,324,0,-39.35144,-0.4977152,0,1,
12/01/2024 13:02:55,-1,43,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,32,-71.60062,39.12541,0,0,
12/01/2024 13:02:59,-1,43,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,32,-129.4546,38.6643,0,1,
12/01/2024 13:03:04,-1,43,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,32,-127.4079,28.88269,0,2,
12/01/2024 13:03:09,-1,44,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,-32,-122.6766,-23.24246,0,0,
12/01/2024 13:03:13,-1,44,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,-32,-132.9148,-43.83523,0,1,
12/01/2024 13:03:18,-1,44,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,234,-32,-131.3439,-37.19309,0,2,
12/01/2024 13:03:22,-1,45,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,-32,167.3665,-27.79374,0,0,
12/01/2024 13:03:27,-1,45,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,-32,151.3878,-44.15746,0,1,
12/01/2024 13:03:31,-1,45,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,162,-32,154.5416,-37.26561,0,2,
12/01/2024 13:03:35,-1,46,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,-56,-12.42434,-48.67994,0,0,
12/01/2024 13:03:39,-1,46,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,-56,-21.95797,-60.48348,0,1,
12/01/2024 13:03:43,-1,47,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,270,56,-127.3466,65.43338,0,0,
12/01/2024 13:03:47,-1,47,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,270,56,-88.40789,55.27428,0,1,
12/01/2024 13:03:51,-1,48,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,-56,108.2587,-53.46407,0,0,
12/01/2024 13:03:56,-1,48,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,-56,135.4851,-58.78148,0,1,
12/01/2024 13:04:00,-1,48,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,-56,128.1232,-56.30441,0,2,
12/01/2024 13:04:04,-1,49,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,0,90,-0.6324196,60.07787,0,0,
12/01/2024 13:04:10,-1,49,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,0,90,-3.998509,85.10383,0,1,
12/01/2024 13:04:13,-1,50,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,-32,19.96943,-24.69517,0,0,
12/01/2024 13:04:17,-1,50,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,-32,17.76918,-38.81247,0,1,
12/01/2024 13:04:22,-1,50,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,-32,18.13052,-33.71171,0,2,
12/01/2024 13:04:25,-1,51,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,108,0,107.8446,-0.249446,0,0,
12/01/2024 13:04:30,-1,52,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,144,0,147.9682,12.26,0,0,
12/01/2024 13:04:34,-1,52,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,144,0,140.7454,-13.50492,0,1,
12/01/2024 13:04:39,-1,52,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,144,0,142.3248,0.7214502,0,2,
12/01/2024 13:04:43,-1,53,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,0,0,-0.4311472,0.7981939,0,0,
12/01/2024 13:04:46,-1,54,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,56,0,76.55164,0,0,
12/01/2024 13:04:50,-1,54,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,56,-32.64427,62.2842,0,1,
12/01/2024 13:04:54,-1,54,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,342,56,-12.6638,53.29153,0,2,
12/01/2024 13:04:58,-1,55,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,72,0,90.27335,0.6132555,0,0,
12/01/2024 13:05:02,-1,55,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,72,0,75.38808,-0.3102743,0,1,
12/01/2024 13:05:07,-1,56,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,56,-28.93317,57.46324,0,0,
